Category: All categories

Region,auxílio brasil + auxilio brasil: (1/1/22 - 6/30/22)
State of Maranhão,100
State of Bahia,95
State of Piauí,90
State of Pará,86
State of Ceará,80
State of Pernambuco,78
State of Amapá,77
State of Paraíba,76
State of Amazonas,72
State of Sergipe,71
State of Rio Grande do Norte,62
State of Alagoas,61
State of Acre,61
State of Rio de Janeiro,52
State of Tocantins,46
State of Roraima,44
State of Goiás,42
State of Espírito Santo,42
State of Minas Gerais,42
State of Rondônia,36
State of Mato Grosso do Sul,30
State of Mato Grosso,30
State of São Paulo,29
State of Rio Grande do Sul,28
State of Paraná,27
Federal District,21
State of Santa Catarina,17
