Category: All categories

Region,vagas: (1/1/22 - 6/30/22)
State of Rio de Janeiro,100
State of Santa Catarina,92
State of Paraná,72
State of São Paulo,72
State of Rio Grande do Sul,62
State of Minas Gerais,60
Federal District,53
State of Bahia,52
State of Piauí,52
State of Ceará,49
State of Espírito Santo,48
State of Goiás,48
State of Pernambuco,46
State of Pará,45
State of Mato Grosso,44
State of Amazonas,44
State of Mato Grosso do Sul,44
State of Maranhão,37
State of Alagoas,36
State of Rio Grande do Norte,34
State of Tocantins,33
State of Paraíba,32
State of Sergipe,31
State of Rondônia,30
State of Amapá,28
State of Roraima,26
State of Acre,26
