Category: All categories

Region,Apartment: (1/1/22 - 6/30/22)
Federal District,100
State of São Paulo,89
State of Santa Catarina,81
State of Rio de Janeiro,75
State of Paraná,69
State of Paraíba,66
State of Minas Gerais,61
State of Rio Grande do Sul,61
State of Goiás,60
State of Pernambuco,58
State of Espírito Santo,57
State of Bahia,49
State of Alagoas,48
State of Ceará,47
State of Rio Grande do Norte,45
State of Sergipe,44
State of Mato Grosso,30
State of Rondônia,27
State of Amazonas,27
State of Pará,27
State of Piauí,26
State of Mato Grosso do Sul,26
State of Acre,26
State of Amapá,25
State of Roraima,25
State of Tocantins,24
State of Maranhão,23
