Category: All categories

Region,Travel: (1/1/22 - 6/30/22)
Federal District,100
State of São Paulo,98
State of Rio de Janeiro,92
State of Minas Gerais,88
State of Santa Catarina,88
State of Goiás,84
State of Mato Grosso,83
State of Paraná,79
State of Espírito Santo,79
State of Rio Grande do Sul,72
State of Pernambuco,71
State of Ceará,71
State of Bahia,70
State of Pará,69
State of Maranhão,68
State of Mato Grosso do Sul,68
State of Amazonas,67
State of Acre,64
State of Rio Grande do Norte,64
State of Paraíba,63
State of Roraima,62
State of Amapá,60
State of Rondônia,58
State of Alagoas,55
State of Tocantins,55
State of Sergipe,48
State of Piauí,48
