Category: All categories

Region,God: (1/1/22 - 6/30/22)
State of Maranhão,100
State of Pernambuco,95
State of Paraíba,92
State of Amazonas,92
State of Bahia,91
State of Alagoas,89
State of Pará,89
State of Tocantins,84
State of Piauí,83
State of Rio Grande do Norte,80
State of Ceará,80
State of Espírito Santo,79
State of Sergipe,78
State of Rondônia,75
State of Rio de Janeiro,75
State of Goiás,75
State of Mato Grosso,71
State of Roraima,68
State of Acre,67
State of Minas Gerais,65
State of Mato Grosso do Sul,65
State of Amapá,64
Federal District,60
State of São Paulo,58
State of Paraná,50
State of Santa Catarina,45
State of Rio Grande do Sul,39
