Category: All categories

Region,Water scarcity: (1/1/22 - 6/30/22)
Federal District,100
State of Amazonas,99
State of Paraíba,85
State of Alagoas,82
State of Espírito Santo,60
State of Santa Catarina,54
State of Sergipe,48
State of Bahia,45
State of Rio de Janeiro,45
State of Paraná,44
State of Minas Gerais,40
State of Rio Grande do Sul,38
State of Ceará,37
State of Amapá,36
State of Pernambuco,34
State of Pará,34
State of Rio Grande do Norte,30
State of Piauí,26
State of São Paulo,25
State of Goiás,22
State of Acre,22
State of Maranhão,21
State of Rondônia,19
State of Tocantins,17
State of Mato Grosso,16
State of Mato Grosso do Sul,13
State of Roraima,12
