Category: All categories

Region,Deforestation: (1/1/22 - 6/30/22)
State of Acre,100
State of Pará,95
State of Amapá,92
State of Amazonas,91
State of Rondônia,84
State of Maranhão,82
State of Tocantins,76
State of Piauí,76
State of Roraima,75
State of Bahia,63
State of Mato Grosso,60
State of Goiás,57
State of Ceará,54
State of Rio Grande do Norte,54
State of Sergipe,53
Federal District,52
State of Pernambuco,51
State of Paraíba,50
State of Alagoas,50
State of Espírito Santo,50
State of Mato Grosso do Sul,48
State of São Paulo,44
State of Minas Gerais,40
State of Paraná,40
State of Rio de Janeiro,37
State of Rio Grande do Sul,36
State of Santa Catarina,36
