Category: All categories

Region,Dengue fever: (1/1/22 - 6/30/22)
State of Goiás,100
State of Piauí,91
Federal District,60
State of Rio Grande do Sul,52
State of Tocantins,51
State of Santa Catarina,49
State of Rio Grande do Norte,47
State of Paraná,46
State of Paraíba,39
State of Ceará,36
State of Alagoas,35
State of Rondônia,34
State of São Paulo,28
State of Mato Grosso,27
State of Mato Grosso do Sul,25
State of Minas Gerais,22
State of Acre,19
State of Pernambuco,18
State of Maranhão,16
State of Bahia,16
State of Sergipe,15
State of Amazonas,11
State of Pará,10
State of Espírito Santo,9
State of Roraima,9
State of Rio de Janeiro,8
State of Amapá,8
