capitulo,subcapitulo,tipo,periodo,assunto,dia-extracao,caminho,nome-arquivo,link,embed,github-csv
Economia,Emprego,Gráfico,2004 a 30/06/2022,Vagas,22/07/2022,economia/emprego/,vagas_grafico.csv,https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=vagas,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""vagas"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=vagas"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/emprego/vagas_grafico.csv
Economia,Emprego,Mapa,01/01/2022 a 30/06/2022,Vagas,22/07/2022,economia/emprego/,vagas_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=vagas,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""vagas"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=vagas"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/emprego/vagas_mapa.csv
Economia,Emprego,Mapa,01/01/2022 a 30/06/2022,Jovem Aprendiz,22/07/2022,economia/emprego/,jovem-aprendiz_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=jovem%20aprendiz,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""jovem aprendiz"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=jovem%20aprendiz"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/emprego/jovem-aprendiz_mapa.csv
Economia,Salario mínimo,-,-,-,-,-,-,-,-,-
Economia,Inflação,Gráfico,Últimos cinco anos (01/07/2017 a 30/06/2022),Inflação,22/07/2022,economia/inflacao/,inflacao_grafico.csv,https://trends.google.com/trends/explore?date=2017-07-01%202022-06-30&geo=BR&q=%2Fm%2F09jx2,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/09jx2"",""geo"":""BR"",""time"":""2017-07-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2017-07-01%202022-06-30&geo=BR&q=%2Fm%2F09jx2"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/inflacao/inflacao_grafico.csv
Economia,Inflação,Mapa,Últimos cinco anos (01/07/2017 a 30/06/2022),Fome,22/07/2022,economia/inflacao/,fome_mapa.csv,https://trends.google.com/trends/explore?date=2017-07-01%202022-06-30&geo=BR&q=%2Fm%2F09gnm8w,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/09gnm8w"",""geo"":""BR"",""time"":""2017-07-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2017-07-01%202022-06-30&geo=BR&q=%2Fm%2F09gnm8w"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/inflacao/fome_mapa.csv
Economia,Benefícios sociais,Mapa,01/01/2022 a 30/06/2022,Auxílio Brasil,22/07/2022,economia/beneficios-sociais/,auxilio-brasil_mapa.csv,https://trends.google.com.br/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=aux%C3%ADlio%20brasil%20%2B%20auxilio%20brasil,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""auxílio brasil + auxilio brasil"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=aux%C3%ADlio%20brasil%20%2B%20auxilio%20brasil"",""guestPath"":""https://trends.google.com.br:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/beneficios-sociais/auxilio-brasil_mapa.csv
Economia,Benefícios sociais,Gráfico,Últimos cinco anos (01/07/2017 a 30/06/2022),FGTS e PIS/Pasep,22/07/2022,economia/beneficios-sociais/,fgts-pis-pasep_grafico.csv,"https://trends.google.com/trends/explore?date=2017-07-01%202022-06-30&geo=BR&q=%2Fg%2F1215_gxl,%2Fg%2F122rd8vl","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/g/1215_gxl"",""geo"":""BR"",""time"":""2017-07-01 2022-06-30""},{""keyword"":""/g/122rd8vl"",""geo"":""BR"",""time"":""2017-07-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2017-07-01%202022-06-30&geo=BR&q=%2Fg%2F1215_gxl,%2Fg%2F122rd8vl"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/beneficios-sociais/fgts-pis-pasep_grafico.csv
Economia,Moradia,Mapa,01/01/2022 a 30/06/2022,Minha Casa Minha Vida,22/07/2022,economia/moradia/,minha-casa-minha-vida_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%22minha%20casa%20minha%20vida%22,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""\""minha casa minha vida\"""",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%22minha%20casa%20minha%20vida%22"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/moradia/minha-casa-minha-vida_mapa.csv
Economia,Moradia,Mapa,01/01/2022 a 30/06/2022,Casa Verde e Amarela,22/07/2022,economia/moradia/,casa-verde-e-amarela_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%22casa%20verde%20e%20amarela%22,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""\""casa verde e amarela\"""",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%22casa%20verde%20e%20amarela%22"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/moradia/casa-verde-e-amarela_mapa.csv
