Category: All categories

Week,Fundo de Garantia do Tempo de Serviço: (Brazil),PIS/PASEP: (Brazil)
2017-07-02,21,18
2017-07-09,17,13
2017-07-16,13,14
2017-07-23,16,25
2017-07-30,12,13
2017-08-06,14,11
2017-08-13,14,14
2017-08-20,12,12
2017-08-27,16,10
2017-09-03,8,7
2017-09-10,9,13
2017-09-17,7,7
2017-09-24,7,11
2017-10-01,9,12
2017-10-08,10,18
2017-10-15,9,36
2017-10-22,7,14
2017-10-29,6,9
2017-11-05,8,11
2017-11-12,7,16
2017-11-19,6,11
2017-11-26,7,11
2017-12-03,6,8
2017-12-10,6,11
2017-12-17,6,6
2017-12-24,6,22
2017-12-31,8,17
2018-01-07,8,23
2018-01-14,8,26
2018-01-21,7,15
2018-01-28,7,11
2018-02-04,7,13
2018-02-11,6,14
2018-02-18,8,25
2018-02-25,8,13
2018-03-04,8,12
2018-03-11,9,21
2018-03-18,7,9
2018-03-25,6,5
2018-04-01,7,7
2018-04-08,10,6
2018-04-15,9,6
2018-04-22,8,6
2018-04-29,6,5
2018-05-06,7,5
2018-05-13,7,6
2018-05-20,6,6
2018-05-27,5,7
2018-06-03,7,13
2018-06-10,8,37
2018-06-17,9,63
2018-06-24,8,43
2018-07-01,7,21
2018-07-08,7,21
2018-07-15,8,38
2018-07-22,7,38
2018-07-29,8,26
2018-08-05,9,35
2018-08-12,13,54
2018-08-19,11,29
2018-08-26,13,20
2018-09-02,7,13
2018-09-09,12,18
2018-09-16,10,13
2018-09-23,13,23
2018-09-30,8,9
2018-10-07,6,6
2018-10-14,7,13
2018-10-21,7,7
2018-10-28,6,5
2018-11-04,8,8
2018-11-11,6,8
2018-11-18,7,10
2018-11-25,7,6
2018-12-02,7,6
2018-12-09,7,10
2018-12-16,6,6
2018-12-23,6,16
2018-12-30,6,14
2019-01-06,10,16
2019-01-13,10,26
2019-01-20,8,16
2019-01-27,8,8
2019-02-03,8,12
2019-02-10,9,12
2019-02-17,10,23
2019-02-24,8,10
2019-03-03,6,9
2019-03-10,9,18
2019-03-17,8,7
2019-03-24,8,5
2019-03-31,7,5
2019-04-07,8,5
2019-04-14,6,5
2019-04-21,8,5
2019-04-28,7,5
2019-05-05,8,6
2019-05-12,9,6
2019-05-19,8,6
2019-05-26,12,6
2019-06-02,13,7
2019-06-09,12,10
2019-06-16,11,10
2019-06-23,12,22
2019-06-30,12,15
2019-07-07,12,19
2019-07-14,53,26
2019-07-21,100,42
2019-07-28,39,17
2019-08-04,62,19
2019-08-11,32,20
2019-08-18,33,23
2019-08-25,36,16
2019-09-01,30,13
2019-09-08,60,23
2019-09-15,44,18
2019-09-22,35,10
2019-09-29,30,9
2019-10-06,29,9
2019-10-13,27,13
2019-10-20,40,9
2019-10-27,23,7
2019-11-03,31,9
2019-11-10,35,12
2019-11-17,38,8
2019-11-24,27,6
2019-12-01,26,7
2019-12-08,42,12
2019-12-15,63,11
2019-12-22,24,6
2019-12-29,16,13
2020-01-05,16,19
2020-01-12,16,27
2020-01-19,14,14
2020-01-26,13,12
2020-02-02,12,15
2020-02-09,12,24
2020-02-16,11,12
2020-02-23,9,9
2020-03-01,11,12
2020-03-08,13,14
2020-03-15,22,26
2020-03-22,28,13
2020-03-29,34,13
2020-04-05,31,17
2020-04-12,23,12
2020-04-19,21,9
2020-04-26,19,8
2020-05-03,23,9
2020-05-10,20,8
2020-05-17,21,9
2020-05-24,23,10
2020-05-31,33,11
2020-06-07,54,9
2020-06-14,61,13
2020-06-21,29,15
2020-06-28,45,40
2020-07-05,42,18
2020-07-12,36,19
2020-07-19,42,13
