Category: All categories

Region,jovem aprendiz: (1/1/22 - 6/30/22)
State of Rio de Janeiro,100
State of Bahia,66
State of São Paulo,63
State of Amazonas,57
State of Sergipe,56
State of Amapá,51
State of Pará,51
State of Rio Grande do Sul,50
State of Alagoas,50
Federal District,49
State of Maranhão,49
State of Rio Grande do Norte,48
State of Ceará,48
State of Pernambuco,48
State of Paraíba,45
State of Roraima,45
State of Minas Gerais,43
State of Tocantins,43
State of Goiás,43
State of Piauí,40
State of Acre,36
State of Mato Grosso do Sul,32
State of Santa Catarina,30
State of Mato Grosso,30
State of Rondônia,29
State of Espírito Santo,28
State of Paraná,28
