Category: All categories

Month,MEI: (Brazil),CLT: (Brazil),PJ: (Brazil)
2004-01,3,23,3
2004-02,2,27,3
2004-03,<1,26,2
2004-04,1,26,2
2004-05,1,33,3
2004-06,1,25,1
2004-07,1,24,1
2004-08,1,36,2
2004-09,1,28,4
2004-10,2,30,3
2004-11,2,34,6
2004-12,2,28,4
2005-01,1,29,3
2005-02,3,33,2
2005-03,1,28,3
2005-04,1,31,3
2005-05,1,33,2
2005-06,2,31,2
2005-07,2,27,3
2005-08,1,29,2
2005-09,2,29,3
2005-10,2,30,2
2005-11,1,31,3
2005-12,2,25,3
2006-01,2,29,2
2006-02,2,30,2
2006-03,1,33,2
2006-04,1,27,2
2006-05,1,28,2
2006-06,1,29,2
2006-07,1,26,2
2006-08,1,26,2
2006-09,1,25,2
2006-10,1,26,2
2006-11,1,25,2
2006-12,1,20,2
2007-01,1,24,2
2007-02,1,25,2
2007-03,1,27,2
2007-04,1,27,2
2007-05,2,27,2
2007-06,1,27,2
2007-07,1,26,2
2007-08,1,28,2
2007-09,1,29,2
2007-10,2,28,2
2007-11,1,26,2
2007-12,1,21,2
2008-01,1,23,2
2008-02,1,27,2
2008-03,2,28,3
2008-04,2,31,3
2008-05,2,28,3
2008-06,2,29,3
2008-07,1,27,3
2008-08,2,27,2
2008-09,1,31,2
2008-10,2,30,3
2008-11,1,30,3
2008-12,1,22,3
2009-01,1,27,3
2009-02,2,30,3
2009-03,2,31,3
2009-04,2,31,3
2009-05,2,31,3
2009-06,3,29,3
2009-07,4,27,3
2009-08,4,30,3
2009-09,4,32,3
2009-10,3,32,3
2009-11,4,32,3
2009-12,3,23,2
2010-01,4,27,3
2010-02,4,29,3
2010-03,5,31,3
2010-04,5,31,3
2010-05,5,32,3
2010-06,5,29,3
2010-07,5,28,4
2010-08,6,32,3
2010-09,6,32,3
2010-10,6,29,3
2010-11,5,31,3
2010-12,5,24,3
2011-01,8,21,3
2011-02,8,26,4
2011-03,7,25,3
2011-04,7,24,3
2011-05,7,26,3
2011-06,8,24,3
2011-07,7,21,3
2011-08,8,25,3
2011-09,8,25,3
2011-10,7,24,3
2011-11,8,24,3
2011-12,7,17,3
2012-01,11,19,3
2012-02,11,23,3
2012-03,11,27,3
2012-04,10,24,3
2012-05,10,28,3
2012-06,8,25,3
2012-07,9,22,3
2012-08,10,28,3
2012-09,9,27,3
2012-10,9,26,3
2012-11,9,24,3
2012-12,9,17,3
2013-01,15,23,3
2013-02,14,22,3
2013-03,12,25,3
2013-04,14,29,4
2013-05,12,28,4
2013-06,12,27,4
2013-07,12,24,3
2013-08,13,28,3
2013-09,14,28,4
2013-10,14,29,3
2013-11,13,27,3
2013-12,11,18,3
2014-01,22,22,4
2014-02,23,27,4
2014-03,18,25,4
2014-04,21,26,4
2014-05,23,27,4
2014-06,18,24,3
2014-07,20,25,4
2014-08,21,26,4
2014-09,22,29,4
2014-10,23,27,4
2014-11,20,27,4
2014-12,15,20,4
2015-01,29,21,4
2015-02,30,25,5
2015-03,33,29,5
2015-04,31,27,5
2015-05,29,28,5
2015-06,28,28,5
2015-07,28,26,5
2015-08,26,26,4
2015-09,26,27,5
2015-10,26,26,4
2015-11,25,26,4
2015-12,22,19,4
2016-01,34,17,4
2016-02,37,21,4
2016-03,33,25,5
2016-04,35,24,5
2016-05,37,25,5
2016-06,32,25,5
2016-07,30,21,4
2016-08,29,24,4
2016-09,29,25,4
2016-10,28,22,5
2016-11,30,24,5
2016-12,27,17,5
2017-01,42,17,5
2017-02,41,22,6
2017-03,43,28,6
2017-04,42,28,5
2017-05,42,26,6
2017-06,36,23,6
2017-07,38,24,7
2017-08,42,26,7
2017-09,41,26,8
2017-10,42,26,8
2017-11,38,33,7
2017-12,39,22,8
2018-01,64,24,8
2018-02,58,28,8
2018-03,51,31,8
2018-04,55,33,8
2018-05,49,30,8
2018-06,42,29,8
2018-07,44,25,9
2018-08,46,29,9
2018-09,41,28,9
2018-10,41,27,9
2018-11,41,26,9
2018-12,38,18,11
2019-01,58,20,12
2019-02,59,25,11
2019-03,51,24,10
2019-04,59,26,11
2019-05,60,26,11
2019-06,50,25,10
2019-07,53,23,11
2019-08,58,25,11
2019-09,57,27,11
2019-10,53,26,10
2019-11,49,25,9
2019-12,48,16,9
2020-01,69,19,11
2020-02,62,22,10
2020-03,79,30,9
2020-04,86,20,9
2020-05,55,18,9
2020-06,68,19,10
2020-07,62,17,11
2020-08,59,17,11
2020-09,59,20,10
2020-10,53,17,10
2020-11,49,15,9
2020-12,49,12,9
2021-01,75,13,10
2021-02,73,16,9
2021-03,73,18,10
2021-04,73,17,10
2021-05,81,18,11
2021-06,65,18,11
2021-07,65,16,12
2021-08,81,18,11
2021-09,73,20,10
2021-10,64,19,10
2021-11,63,19,9
2021-12,59,14,10
2022-01,93,18,13
2022-02,94,22,14
2022-03,100,26,15
2022-04,85,23,13
2022-05,98,25,14
2022-06,82,23,13
