Category: All categories

Region,Loan: (1/1/22 - 6/30/22)
State of Pará,100
State of Maranhão,98
State of Amazonas,98
State of Ceará,95
State of Bahia,95
State of Piauí,87
State of Rio de Janeiro,85
State of Amapá,84
State of Paraíba,82
State of Goiás,81
State of Rio Grande do Norte,80
State of Santa Catarina,80
State of Pernambuco,79
State of Acre,79
State of Rio Grande do Sul,77
State of São Paulo,77
State of Minas Gerais,77
State of Mato Grosso do Sul,75
State of Paraná,72
State of Espírito Santo,72
State of Mato Grosso,67
Federal District,67
State of Roraima,65
State of Sergipe,64
State of Tocantins,64
State of Alagoas,63
State of Rondônia,61
