Category: All categories

Region,mei: (1/1/22 - 6/30/22)
State of Rio Grande do Sul,100
State of Santa Catarina,97
State of Espírito Santo,96
State of Rio de Janeiro,94
State of Minas Gerais,90
State of São Paulo,89
State of Paraná,86
State of Goiás,81
Federal District,79
State of Mato Grosso,78
State of Bahia,73
State of Mato Grosso do Sul,73
State of Ceará,66
State of Paraíba,66
State of Pernambuco,64
State of Tocantins,62
State of Rio Grande do Norte,61
State of Pará,60
State of Rondônia,53
State of Sergipe,51
State of Alagoas,49
State of Roraima,48
State of Piauí,44
State of Amazonas,43
State of Maranhão,42
State of Amapá,39
State of Acre,34
