Category: All categories

Region,Hunger: (7/1/17 - 6/30/22)
State of Maranhão,100
State of Bahia,100
State of Ceará,95
State of Pernambuco,94
State of Paraíba,92
State of Rio de Janeiro,89
State of Pará,87
State of Espírito Santo,84
State of Rio Grande do Norte,83
State of Acre,82
State of Goiás,82
State of Amazonas,80
State of Minas Gerais,79
State of Amapá,79
State of Piauí,78
State of Roraima,78
State of São Paulo,77
State of Santa Catarina,76
State of Tocantins,76
State of Alagoas,75
Federal District,75
State of Paraná,74
State of Rio Grande do Sul,72
State of Mato Grosso,70
State of Rondônia,67
State of Mato Grosso do Sul,66
State of Sergipe,65
