Category: All categories

Week,Inflation: (Brazil)
2017-07-02,32
2017-07-09,22
2017-07-16,26
2017-07-23,27
2017-07-30,30
2017-08-06,32
2017-08-13,32
2017-08-20,32
2017-08-27,33
2017-09-03,35
2017-09-10,33
2017-09-17,38
2017-09-24,34
2017-10-01,36
2017-10-08,24
2017-10-15,29
2017-10-22,33
2017-10-29,33
2017-11-05,38
2017-11-12,33
2017-11-19,32
2017-11-26,36
2017-12-03,35
2017-12-10,29
2017-12-17,26
2017-12-24,27
2017-12-31,37
2018-01-07,44
2018-01-14,29
2018-01-21,26
2018-01-28,27
2018-02-04,27
2018-02-11,21
2018-02-18,26
2018-02-25,28
2018-03-04,27
2018-03-11,29
2018-03-18,30
2018-03-25,29
2018-04-01,29
2018-04-08,33
2018-04-15,31
2018-04-22,31
2018-04-29,28
2018-05-06,33
2018-05-13,33
2018-05-20,41
2018-05-27,39
2018-06-03,37
2018-06-10,33
2018-06-17,30
2018-06-24,28
2018-07-01,26
2018-07-08,25
2018-07-15,24
2018-07-22,29
2018-07-29,27
2018-08-05,34
2018-08-12,26
2018-08-19,42
2018-08-26,37
2018-09-02,35
2018-09-09,38
2018-09-16,40
2018-09-23,43
2018-09-30,36
2018-10-07,39
2018-10-14,37
2018-10-21,45
2018-10-28,37
2018-11-04,41
2018-11-11,30
2018-11-18,33
2018-11-25,37
2018-12-02,35
2018-12-09,29
2018-12-16,26
2018-12-23,22
2018-12-30,44
2019-01-06,43
2019-01-13,33
2019-01-20,28
2019-01-27,28
2019-02-03,29
2019-02-10,29
2019-02-17,31
2019-02-24,31
2019-03-03,25
2019-03-10,32
2019-03-17,31
2019-03-24,37
2019-03-31,36
2019-04-07,36
2019-04-14,36
2019-04-21,33
2019-04-28,32
2019-05-05,38
2019-05-12,37
2019-05-19,35
2019-05-26,38
2019-06-02,40
2019-06-09,35
2019-06-16,30
2019-06-23,32
2019-06-30,28
2019-07-07,30
2019-07-14,24
2019-07-21,25
2019-07-28,30
2019-08-04,32
2019-08-11,34
2019-08-18,36
2019-08-25,32
2019-09-01,34
2019-09-08,31
2019-09-15,33
2019-09-22,31
2019-09-29,29
2019-10-06,35
2019-10-13,30
2019-10-20,32
2019-10-27,46
2019-11-03,41
2019-11-10,33
2019-11-17,38
2019-11-24,40
2019-12-01,37
2019-12-08,30
2019-12-15,26
2019-12-22,26
2019-12-29,32
2020-01-05,39
2020-01-12,37
2020-01-19,28
2020-01-26,25
2020-02-02,35
2020-02-09,32
2020-02-16,30
2020-02-23,25
2020-03-01,32
2020-03-08,33
2020-03-15,25
2020-03-22,25
2020-03-29,25
2020-04-05,26
2020-04-12,26
2020-04-19,27
2020-04-26,27
2020-05-03,34
2020-05-10,27
2020-05-17,27
2020-05-24,28
2020-05-31,27
2020-06-07,27
2020-06-14,26
2020-06-21,26
2020-06-28,25
2020-07-05,22
2020-07-12,22
2020-07-19,23
2020-07-26,44
2020-08-02,29
2020-08-09,28
2020-08-16,26
2020-08-23,30
2020-08-30,38
2020-09-06,50
2020-09-13,34
2020-09-20,32
2020-09-27,28
2020-10-04,31
2020-10-11,24
2020-10-18,29
2020-10-25,28
2020-11-01,29
2020-11-08,29
2020-11-15,28
2020-11-22,33
2020-11-29,31
2020-12-06,36
2020-12-13,29
2020-12-20,23
2020-12-27,28
2021-01-03,35
2021-01-10,37
2021-01-17,26
2021-01-24,27
2021-01-31,23
2021-02-07,26
2021-02-14,27
2021-02-21,28
2021-02-28,32
2021-03-07,35
2021-03-14,34
2021-03-21,27
2021-03-28,27
2021-04-04,29
2021-04-11,30
2021-04-18,29
2021-04-25,28
2021-05-02,33
2021-05-09,37
2021-05-16,30
2021-05-23,32
2021-05-30,33
2021-06-06,42
2021-06-13,41
2021-06-20,39
2021-06-27,32
2021-07-04,33
2021-07-11,38
2021-07-18,33
2021-07-25,31
2021-08-01,36
2021-08-08,41
2021-08-15,44
2021-08-22,56
2021-08-29,56
2021-09-05,74
2021-09-12,59
2021-09-19,60
2021-09-26,57
2021-10-03,59
2021-10-10,54
2021-10-17,59
2021-10-24,65
2021-10-31,48
2021-11-07,62
2021-11-14,51
2021-11-21,44
2021-11-28,44
2021-12-05,46
2021-12-12,44
2021-12-19,40
2021-12-26,41
2022-01-02,51
2022-01-09,71
2022-01-16,56
2022-01-23,50
2022-01-30,46
2022-02-06,45
2022-02-13,45
2022-02-20,43
2022-02-27,43
2022-03-06,64
2022-03-13,64
2022-03-20,57
2022-03-27,62
2022-04-03,64
2022-04-10,66
2022-04-17,58
2022-04-24,74
2022-05-01,78
2022-05-08,100
2022-05-15,68
2022-05-22,64
2022-05-29,63
2022-06-05,73
2022-06-12,70
2022-06-19,67
2022-06-26,65
