Category: All categories

Region,"""casa verde e amarela"": (1/1/22 - 6/30/22)"
State of São Paulo,100
State of Rondônia,97
State of Paraná,95
State of Amazonas,94
State of Alagoas,91
State of Santa Catarina,91
State of Pará,91
State of Mato Grosso do Sul,86
State of Paraíba,83
State of Goiás,81
Federal District,80
State of Bahia,76
State of Mato Grosso,75
State of Maranhão,75
State of Rio Grande do Sul,74
State of Pernambuco,74
State of Tocantins,67
State of Rio de Janeiro,67
State of Ceará,66
State of Minas Gerais,66
State of Sergipe,65
State of Rio Grande do Norte,60
State of Roraima,59
State of Piauí,52
State of Acre,48
State of Espírito Santo,44
State of Amapá,42
