Category: All categories

Region,"""minha casa minha vida"": (1/1/22 - 6/30/22)"
State of Maranhão,100
State of Pará,76
State of Bahia,60
State of Alagoas,60
State of Rondônia,52
State of Rio de Janeiro,47
State of Tocantins,45
State of Amapá,45
State of Piauí,45
State of Santa Catarina,41
State of Rio Grande do Norte,41
State of Goiás,39
State of Mato Grosso,36
State of Pernambuco,35
State of Roraima,35
State of Mato Grosso do Sul,35
State of Paraná,34
State of Rio Grande do Sul,33
State of Paraíba,32
State of Espírito Santo,32
State of Sergipe,31
State of Ceará,31
State of Minas Gerais,30
State of São Paulo,30
Federal District,28
State of Amazonas,26
State of Acre,13
