Category: All categories

Month,Programa Universidade para Todos: (Brazil),Fundo de Financiamento ao Estudante do Ensino Superior: (Brazil)
2004-01,0,4
2004-02,<1,4
2004-03,<1,4
2004-04,<1,2
2004-05,<1,2
2004-06,<1,3
2004-07,<1,3
2004-08,<1,16
2004-09,1,14
2004-10,1,15
2004-11,3,3
2004-12,25,2
2005-01,34,5
2005-02,12,5
2005-03,5,4
2005-04,6,2
2005-05,4,2
2005-06,4,3
2005-07,4,4
2005-08,4,5
2005-09,7,4
2005-10,7,23
2005-11,19,10
2005-12,99,8
2006-01,73,5
2006-02,12,4
2006-03,7,4
2006-04,6,3
2006-05,21,3
2006-06,30,3
2006-07,9,4
2006-08,8,5
2006-09,5,4
2006-10,6,6
2006-11,30,24
2006-12,98,16
2007-01,16,9
2007-02,15,4
2007-03,6,4
2007-04,5,3
2007-05,18,3
2007-06,23,3
2007-07,8,4
2007-08,7,7
2007-09,5,10
2007-10,6,7
2007-11,38,5
2007-12,100,4
2008-01,17,4
2008-02,24,4
2008-03,12,4
2008-04,5,3
2008-05,14,3
2008-06,26,4
2008-07,12,4
2008-08,6,6
2008-09,4,6
2008-10,4,9
2008-11,25,5
2008-12,57,6
2009-01,28,5
2009-02,18,3
2009-03,11,5
2009-04,6,8
2009-05,9,5
2009-06,26,5
2009-07,21,4
2009-08,5,3
2009-09,2,3
2009-10,2,3
2009-11,2,3
2009-12,5,4
2010-01,14,5
2010-02,80,5
2010-03,28,5
2010-04,3,6
2010-05,4,7
2010-06,15,4
2010-07,8,4
2010-08,3,4
2010-09,2,3
2010-10,2,3
2010-11,4,3
2010-12,3,3
2011-01,75,7
2011-02,35,7
2011-03,10,4
2011-04,3,4
2011-05,4,5
2011-06,21,5
2011-07,11,4
2011-08,5,4
2011-09,4,3
2011-10,5,4
2011-11,2,5
2011-12,7,6
2012-01,57,12
2012-02,24,12
2012-03,8,11
2012-04,2,5
2012-05,3,5
2012-06,8,6
2012-07,15,13
2012-08,3,9
2012-09,1,5
2012-10,2,5
2012-11,2,6
2012-12,4,6
2013-01,50,18
2013-02,14,15
2013-03,4,10
2013-04,2,7
2013-05,2,6
2013-06,12,6
2013-07,6,13
2013-08,2,10
2013-09,1,6
2013-10,2,7
2013-11,1,6
2013-12,1,7
2014-01,52,22
2014-02,12,16
2014-03,4,12
2014-04,2,10
2014-05,3,8
2014-06,19,8
2014-07,6,16
2014-08,4,14
2014-09,2,10
2014-10,2,9
2014-11,2,8
2014-12,2,9
2015-01,46,38
2015-02,22,64
2015-03,10,71
2015-04,2,28
2015-05,2,11
2015-06,19,10
2015-07,6,15
2015-08,2,31
2015-09,1,13
2015-10,2,8
2015-11,1,5
2015-12,1,6
2016-01,48,31
2016-02,10,27
2016-03,7,13
2016-04,2,9
2016-05,2,6
2016-06,16,14
2016-07,4,11
2016-08,2,8
2016-09,1,7
2016-10,1,17
2016-11,1,7
2016-12,1,8
2017-01,23,15
2017-02,41,37
2017-03,8,13
2017-04,3,6
2017-05,2,5
2017-06,11,7
2017-07,4,13
2017-08,3,11
2017-09,1,8
2017-10,1,5
2017-11,2,5
2017-12,1,5
2018-01,12,11
2018-02,35,30
2018-03,8,20
2018-04,5,11
2018-05,2,7
2018-06,8,8
2018-07,6,14
2018-08,4,9
2018-09,1,8
2018-10,2,7
2018-11,2,4
2018-12,1,4
2019-01,15,9
2019-02,22,20
2019-03,5,8
2019-04,2,6
2019-05,2,5
2019-06,10,6
2019-07,3,8
2019-08,5,6
2019-09,1,6
2019-10,1,5
2019-11,1,5
2019-12,1,5
2020-01,18,8
2020-02,15,17
2020-03,3,7
2020-04,1,6
2020-05,1,5
2020-06,1,6
2020-07,6,8
2020-08,2,5
2020-09,3,4
2020-10,1,5
2020-11,<1,3
2020-12,1,4
2021-01,7,8
2021-02,2,6
2021-03,2,5
2021-04,3,4
2021-05,4,3
2021-06,1,4
2021-07,6,6
2021-08,2,6
2021-09,1,3
2021-10,<1,3
2021-11,1,3
2021-12,1,3
2022-01,2,8
2022-02,16,8
2022-03,8,13
2022-04,3,5
2022-05,1,5
2022-06,1,5
