Category: All categories

Month,Wood: (Brazil)
2004-01,26
2004-02,24
2004-03,25
2004-04,24
2004-05,25
2004-06,24
2004-07,24
2004-08,23
2004-09,26
2004-10,23
2004-11,25
2004-12,20
2005-01,25
2005-02,24
2005-03,21
2005-04,22
2005-05,23
2005-06,24
2005-07,23
2005-08,22
2005-09,23
2005-10,20
2005-11,23
2005-12,18
2006-01,21
2006-02,20
2006-03,20
2006-04,19
2006-05,20
2006-06,20
2006-07,21
2006-08,21
2006-09,19
2006-10,20
2006-11,20
2006-12,15
2007-01,17
2007-02,17
2007-03,16
2007-04,17
2007-05,19
2007-06,19
2007-07,19
2007-08,18
2007-09,18
2007-10,19
2007-11,18
2007-12,14
2008-01,20
2008-02,19
2008-03,17
2008-04,18
2008-05,19
2008-06,19
2008-07,19
2008-08,19
2008-09,20
2008-10,19
2008-11,20
2008-12,17
2009-01,21
2009-02,20
2009-03,21
2009-04,20
2009-05,22
2009-06,22
2009-07,22
2009-08,23
2009-09,22
2009-10,22
2009-11,22
2009-12,19
2010-01,22
2010-02,22
2010-03,21
2010-04,22
2010-05,22
2010-06,20
2010-07,22
2010-08,23
2010-09,22
2010-10,21
2010-11,22
2010-12,18
2011-01,20
2011-02,19
2011-03,21
2011-04,20
2011-05,22
2011-06,22
2011-07,23
2011-08,25
2011-09,24
2011-10,24
2011-11,25
2011-12,20
2012-01,24
2012-02,24
2012-03,24
2012-04,24
2012-05,26
2012-06,25
2012-07,27
2012-08,28
2012-09,27
2012-10,24
2012-11,26
2012-12,21
2013-01,26
2013-02,25
2013-03,25
2013-04,27
2013-05,28
2013-06,28
2013-07,30
2013-08,31
2013-09,30
2013-10,30
2013-11,30
2013-12,26
2014-01,29
2014-02,29
2014-03,29
2014-04,30
2014-05,33
2014-06,31
2014-07,34
2014-08,34
2014-09,34
2014-10,33
2014-11,34
2014-12,31
2015-01,35
2015-02,36
2015-03,36
2015-04,37
2015-05,38
2015-06,37
2015-07,40
2015-08,40
2015-09,41
2015-10,40
2015-11,41
2015-12,37
2016-01,45
2016-02,42
2016-03,40
2016-04,43
2016-05,43
2016-06,43
2016-07,45
2016-08,41
2016-09,45
2016-10,45
2016-11,46
2016-12,52
2017-01,57
2017-02,55
2017-03,58
2017-04,56
2017-05,58
2017-06,59
2017-07,63
2017-08,64
2017-09,60
2017-10,61
2017-11,61
2017-12,55
2018-01,61
2018-02,58
2018-03,57
2018-04,56
2018-05,58
2018-06,59
2018-07,65
2018-08,66
2018-09,61
2018-10,56
2018-11,63
2018-12,58
2019-01,57
2019-02,45
2019-03,46
2019-04,58
2019-05,60
2019-06,61
2019-07,67
2019-08,63
2019-09,63
2019-10,59
2019-11,61
2019-12,55
2020-01,59
2020-02,57
2020-03,51
2020-04,69
2020-05,85
2020-06,100
2020-07,95
2020-08,87
2020-09,78
2020-10,73
2020-11,71
2020-12,68
2021-01,72
2021-02,68
2021-03,69
2021-04,74
2021-05,72
2021-06,72
2021-07,73
2021-08,71
2021-09,66
2021-10,66
2021-11,64
2021-12,60
2022-01,68
2022-02,67
2022-03,66
2022-04,66
2022-05,64
2022-06,65
