Category: All categories

Month,Vegetarianism: (Brazil),Veganism: (Brazil),frango: (Brazil)
2004-01,5,<1,18
2004-02,4,1,26
2004-03,4,1,17
2004-04,4,1,14
2004-05,4,1,13
2004-06,4,1,12
2004-07,4,1,17
2004-08,3,1,16
2004-09,3,1,14
2004-10,4,<1,14
2004-11,4,1,16
2004-12,3,<1,20
2005-01,4,1,16
2005-02,3,1,15
2005-03,4,1,15
2005-04,4,<1,16
2005-05,4,1,16
2005-06,4,1,15
2005-07,3,<1,16
2005-08,3,1,17
2005-09,3,1,17
2005-10,3,1,22
2005-11,4,1,21
2005-12,4,1,21
2006-01,3,1,16
2006-02,3,1,14
2006-03,4,1,19
2006-04,3,1,16
2006-05,4,1,15
2006-06,3,1,16
2006-07,4,1,16
2006-08,4,1,14
2006-09,3,1,15
2006-10,3,1,14
2006-11,4,1,14
2006-12,3,1,17
2007-01,4,1,14
2007-02,3,1,15
2007-03,3,1,12
2007-04,3,1,13
2007-05,3,1,15
2007-06,3,1,14
2007-07,4,1,17
2007-08,3,1,15
2007-09,3,1,15
2007-10,3,1,14
2007-11,4,1,15
2007-12,3,1,17
2008-01,3,1,15
2008-02,4,1,15
2008-03,3,1,14
2008-04,3,1,16
2008-05,3,1,16
2008-06,4,1,16
2008-07,4,1,17
2008-08,4,1,17
2008-09,4,1,17
2008-10,3,1,17
2008-11,3,1,17
2008-12,3,1,23
2009-01,4,1,20
2009-02,3,1,20
2009-03,3,1,19
2009-04,3,1,18
2009-05,3,1,21
2009-06,3,1,21
2009-07,3,1,20
2009-08,3,1,21
2009-09,3,1,22
2009-10,3,1,23
2009-11,3,1,23
2009-12,3,1,28
2010-01,3,1,27
2010-02,2,1,24
2010-03,2,1,24
2010-04,3,1,25
2010-05,3,1,26
2010-06,3,1,27
2010-07,3,1,27
2010-08,3,1,27
2010-09,3,1,27
2010-10,3,1,27
2010-11,2,1,26
2010-12,3,1,32
2011-01,2,1,32
2011-02,2,1,31
2011-03,3,1,35
2011-04,2,1,32
2011-05,2,1,33
2011-06,2,1,37
2011-07,2,1,37
2011-08,2,1,35
2011-09,2,1,34
2011-10,2,1,34
2011-11,2,1,35
2011-12,2,1,47
2012-01,2,1,37
2012-02,2,1,35
2012-03,2,1,35
2012-04,2,1,37
2012-05,2,1,38
2012-06,2,1,39
2012-07,2,1,41
2012-08,2,1,42
2012-09,2,1,41
2012-10,2,1,36
2012-11,2,1,37
2012-12,2,1,49
2013-01,2,1,39
2013-02,2,1,37
2013-03,2,1,36
2013-04,2,1,38
2013-05,2,1,41
2013-06,2,1,41
2013-07,2,1,43
2013-08,2,1,46
2013-09,2,2,45
2013-10,3,2,42
2013-11,3,2,44
2013-12,3,2,58
2014-01,3,2,45
2014-02,3,2,44
2014-03,3,2,46
2014-04,3,3,44
2014-05,3,2,49
2014-06,3,2,50
2014-07,3,3,56
2014-08,3,2,55
2014-09,3,3,51
2014-10,3,2,49
2014-11,3,2,52
2014-12,3,3,70
2015-01,3,3,55
2015-02,3,3,58
2015-03,3,3,56
2015-04,3,3,57
2015-05,3,3,63
2015-06,3,4,60
2015-07,3,4,64
2015-08,3,4,68
2015-09,3,5,67
2015-10,4,5,65
2015-11,4,5,64
2015-12,4,5,87
2016-01,4,5,68
2016-02,4,5,67
2016-03,4,5,63
2016-04,4,5,67
2016-05,4,5,69
2016-06,3,5,68
2016-07,4,5,74
2016-08,3,5,65
2016-09,4,6,68
2016-10,4,6,68
2016-11,4,6,66
2016-12,4,6,87
2017-01,4,6,69
2017-02,3,6,70
2017-03,4,6,69
2017-04,4,6,68
2017-05,4,6,70
2017-06,4,7,74
2017-07,4,7,76
2017-08,4,7,72
2017-09,4,7,70
2017-10,4,7,67
2017-11,4,8,69
2017-12,4,8,96
2018-01,4,8,72
2018-02,4,8,72
2018-03,4,9,67
2018-04,3,8,70
2018-05,4,8,73
2018-06,3,8,71
2018-07,4,9,76
2018-08,4,9,71
2018-09,4,8,71
2018-10,3,7,65
2018-11,3,7,67
2018-12,5,10,98
2019-01,4,12,70
2019-02,5,13,70
2019-03,4,13,69
2019-04,4,11,65
2019-05,4,10,71
2019-06,4,11,70
2019-07,4,11,72
2019-08,4,12,70
2019-09,4,12,67
2019-10,4,11,65
2019-11,4,12,68
2019-12,4,13,99
2020-01,4,13,75
2020-02,4,12,74
2020-03,3,11,87
2020-04,3,11,98
2020-05,3,12,100
2020-06,3,12,96
2020-07,3,13,90
2020-08,3,13,86
2020-09,4,13,78
2020-10,3,12,75
2020-11,3,11,74
2020-12,4,12,100
2021-01,3,11,82
2021-02,3,10,78
2021-03,3,11,78
2021-04,3,11,73
2021-05,3,11,74
2021-06,3,10,73
2021-07,3,9,73
2021-08,3,10,70
2021-09,3,10,67
2021-10,3,10,69
2021-11,3,9,62
2021-12,3,10,88
2022-01,3,10,76
2022-02,2,10,74
2022-03,3,10,67
2022-04,3,11,63
2022-05,2,12,69
2022-06,2,12,67
