Category: All categories

Month,Sistema Único de Saúde: (Brazil),Health insurance: (Brazil)
2004-01,25,32
2004-02,22,37
2004-03,26,38
2004-04,20,43
2004-05,17,37
2004-06,14,46
2004-07,11,58
2004-08,12,42
2004-09,16,37
2004-10,15,33
2004-11,20,36
2004-12,16,34
2005-01,16,43
2005-02,13,35
2005-03,21,40
2005-04,15,34
2005-05,16,38
2005-06,16,39
2005-07,12,39
2005-08,13,37
2005-09,18,34
2005-10,26,34
2005-11,21,30
2005-12,12,32
2006-01,13,40
2006-02,18,29
2006-03,19,33
2006-04,17,36
2006-05,19,33
2006-06,18,32
2006-07,14,38
2006-08,15,37
2006-09,13,33
2006-10,13,31
2006-11,15,29
2006-12,12,24
2007-01,12,33
2007-02,16,28
2007-03,17,34
2007-04,15,32
2007-05,15,32
2007-06,15,30
2007-07,12,32
2007-08,15,30
2007-09,15,30
2007-10,16,27
2007-11,17,25
2007-12,13,22
2008-01,17,37
2008-02,21,33
2008-03,21,35
2008-04,19,43
2008-05,17,33
2008-06,15,31
2008-07,12,34
2008-08,12,32
2008-09,18,31
2008-10,16,30
2008-11,15,27
2008-12,11,24
2009-01,14,40
2009-02,17,35
2009-03,17,40
2009-04,16,44
2009-05,18,38
2009-06,15,35
2009-07,14,38
2009-08,13,38
2009-09,17,35
2009-10,17,32
2009-11,18,30
2009-12,12,26
2010-01,14,39
2010-02,14,33
2010-03,20,40
2010-04,18,38
2010-05,16,34
2010-06,15,36
2010-07,12,34
2010-08,16,34
2010-09,14,33
2010-10,13,27
2010-11,12,29
2010-12,9,25
2011-01,11,30
2011-02,15,29
2011-03,15,30
2011-04,14,32
2011-05,15,31
2011-06,14,27
2011-07,13,30
2011-08,15,30
2011-09,16,27
2011-10,15,25
2011-11,16,26
2011-12,11,22
2012-01,14,27
2012-02,16,27
2012-03,24,28
2012-04,22,29
2012-05,23,26
2012-06,18,28
2012-07,15,32
2012-08,17,28
2012-09,17,25
2012-10,16,27
2012-11,15,21
2012-12,12,20
2013-01,14,26
2013-02,15,23
2013-03,16,26
2013-04,18,34
2013-05,17,28
2013-06,17,26
2013-07,17,28
2013-08,18,32
2013-09,19,28
2013-10,17,29
2013-11,17,24
2013-12,13,19
2014-01,18,31
2014-02,20,30
2014-03,19,30
2014-04,19,35
2014-05,20,32
2014-06,18,25
2014-07,20,32
2014-08,20,31
2014-09,21,30
2014-10,20,28
2014-11,19,26
2014-12,15,20
2015-01,16,28
2015-02,18,27
2015-03,21,38
2015-04,19,38
2015-05,22,34
2015-06,20,31
2015-07,19,34
2015-08,23,33
2015-09,22,35
2015-10,20,33
2015-11,20,28
2015-12,16,21
2016-01,17,31
2016-02,19,32
2016-03,21,34
2016-04,23,36
2016-05,23,33
2016-06,21,33
2016-07,18,34
2016-08,20,29
2016-09,22,32
2016-10,20,29
2016-11,20,26
2016-12,28,22
2017-01,39,32
2017-02,44,31
2017-03,47,38
2017-04,45,37
2017-05,44,36
2017-06,40,34
2017-07,39,35
2017-08,49,36
2017-09,47,32
2017-10,46,33
2017-11,47,30
2017-12,36,23
2018-01,45,38
2018-02,47,34
2018-03,52,38
2018-04,54,40
2018-05,50,32
2018-06,47,36
2018-07,43,38
2018-08,48,37
2018-09,49,32
2018-10,48,32
2018-11,44,29
2018-12,34,25
2019-01,38,36
2019-02,23,34
2019-03,26,37
2019-04,52,41
2019-05,52,38
2019-06,46,37
2019-07,49,39
2019-08,51,37
2019-09,52,36
2019-10,49,36
2019-11,51,31
2019-12,40,26
2020-01,51,38
2020-02,49,34
2020-03,61,34
2020-04,50,26
2020-05,44,28
2020-06,45,34
2020-07,42,36
2020-08,61,34
2020-09,67,35
2020-10,95,31
2020-11,50,29
2020-12,49,29
2021-01,63,38
2021-02,59,32
2021-03,65,34
2021-04,67,31
2021-05,69,33
2021-06,80,32
2021-07,81,37
2021-08,99,33
2021-09,90,33
2021-10,80,31
2021-11,73,29
2021-12,93,26
2022-01,100,38
2022-02,86,37
2022-03,86,38
2022-04,75,35
2022-05,78,37
2022-06,73,37
