Category: All categories

Month,LGBT: (Brazil)
2004-01,1
2004-02,1
2004-03,2
2004-04,2
2004-05,<1
2004-06,7
2004-07,1
2004-08,<1
2004-09,1
2004-10,2
2004-11,1
2004-12,0
2005-01,<1
2005-02,2
2005-03,1
2005-04,1
2005-05,10
2005-06,11
2005-07,4
2005-08,4
2005-09,3
2005-10,2
2005-11,3
2005-12,1
2006-01,3
2006-02,2
2006-03,2
2006-04,2
2006-05,4
2006-06,5
2006-07,3
2006-08,1
2006-09,2
2006-10,3
2006-11,1
2006-12,<1
2007-01,2
2007-02,1
2007-03,2
2007-04,2
2007-05,3
2007-06,5
2007-07,2
2007-08,3
2007-09,2
2007-10,3
2007-11,2
2007-12,1
2008-01,2
2008-02,2
2008-03,2
2008-04,3
2008-05,6
2008-06,4
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,2
2008-12,2
2009-01,1
2009-02,2
2009-03,2
2009-04,3
2009-05,3
2009-06,8
2009-07,3
2009-08,2
2009-09,4
2009-10,4
2009-11,4
2009-12,2
2010-01,3
2010-02,2
2010-03,2
2010-04,3
2010-05,4
2010-06,8
2010-07,4
2010-08,3
2010-09,5
2010-10,3
2010-11,4
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,3
2011-05,5
2011-06,8
2011-07,4
2011-08,4
2011-09,5
2011-10,4
2011-11,4
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,3
2012-06,5
2012-07,3
2012-08,4
2012-09,4
2012-10,3
2012-11,3
2012-12,2
2013-01,2
2013-02,2
2013-03,3
2013-04,3
2013-05,4
2013-06,5
2013-07,3
2013-08,3
2013-09,4
2013-10,4
2013-11,3
2013-12,3
2014-01,2
2014-02,3
2014-03,3
2014-04,3
2014-05,5
2014-06,4
2014-07,3
2014-08,5
2014-09,9
2014-10,12
2014-11,5
2014-12,4
2015-01,3
2015-02,4
2015-03,5
2015-04,5
2015-05,6
2015-06,24
2015-07,7
2015-08,6
2015-09,7
2015-10,7
2015-11,7
2015-12,5
2016-01,5
2016-02,5
2016-03,6
2016-04,8
2016-05,14
2016-06,17
2016-07,10
2016-08,9
2016-09,11
2016-10,11
2016-11,11
2016-12,9
2017-01,8
2017-02,9
2017-03,11
2017-04,11
2017-05,14
2017-06,54
2017-07,16
2017-08,15
2017-09,23
2017-10,19
2017-11,21
2017-12,13
2018-01,11
2018-02,14
2018-03,13
2018-04,14
2018-05,20
2018-06,46
2018-07,23
2018-08,24
2018-09,32
2018-10,47
2018-11,27
2018-12,17
2019-01,33
2019-02,25
2019-03,20
2019-04,18
2019-05,23
2019-06,70
2019-07,28
2019-08,23
2019-09,33
2019-10,24
2019-11,22
2019-12,21
2020-01,21
2020-02,22
2020-03,18
2020-04,18
2020-05,29
2020-06,63
2020-07,34
2020-08,28
2020-09,28
2020-10,29
2020-11,28
2020-12,27
2021-01,27
2021-02,26
2021-03,29
2021-04,27
2021-05,38
2021-06,100
2021-07,51
2021-08,40
2021-09,40
2021-10,41
2021-11,38
2021-12,33
2022-01,28
2022-02,28
2022-03,33
2022-04,36
2022-05,47
2022-06,88
