Category: All categories

Region,Racism: (1/1/22 - 6/30/22)
State of Amapá,100
State of Bahia,99
State of São Paulo,86
State of Rio de Janeiro,85
State of Maranhão,81
Federal District,75
State of Alagoas,74
State of Tocantins,71
State of Amazonas,70
State of Sergipe,68
State of Rondônia,68
State of Ceará,67
State of Pará,66
State of Minas Gerais,66
State of Acre,65
State of Pernambuco,63
State of Rio Grande do Sul,61
State of Roraima,61
State of Piauí,61
State of Paraíba,61
State of Rio Grande do Norte,60
State of Goiás,59
State of Espírito Santo,57
State of Mato Grosso do Sul,51
State of Santa Catarina,49
State of Mato Grosso,48
State of Paraná,43
