Category: All categories

Region,Police brutality: (1/1/22 - 6/30/22)
State of Alagoas,100
State of Rio Grande do Norte,80
State of Sergipe,72
Federal District,56
State of Rio de Janeiro,52
State of Goiás,51
State of Paraná,45
State of Pernambuco,45
State of Bahia,43
State of Maranhão,42
State of Rio Grande do Sul,38
State of Ceará,38
State of Minas Gerais,36
State of Santa Catarina,28
State of São Paulo,25
State of Espírito Santo,25
State of Mato Grosso do Sul,25
State of Amazonas,20
State of Piauí,18
State of Mato Grosso,17
State of Paraíba,13
State of Tocantins,11
State of Pará,11
State of Amapá,
State of Rondônia,
State of Acre,
State of Roraima,
