Category: All categories

Region,Exame Nacional do Ensino Médio (ENEM): (1/1/22 - 6/30/22)
State of Piauí,100
State of Pará,94
State of Paraíba,86
State of Maranhão,82
State of Sergipe,78
State of Rio Grande do Norte,76
State of Amapá,74
State of Acre,71
State of Rondônia,70
State of Ceará,69
State of Pernambuco,67
State of Alagoas,67
State of Amazonas,62
State of Bahia,61
State of Goiás,51
State of Mato Grosso,48
State of Tocantins,48
Federal District,47
State of Espírito Santo,45
State of Minas Gerais,43
State of Mato Grosso do Sul,42
State of Roraima,39
State of Rio de Janeiro,38
State of Rio Grande do Sul,36
State of Paraná,32
State of São Paulo,28
State of Santa Catarina,25
