Category: All categories

Month,"clima + tempo + ""previsão do tempo"": (Brazil)"
2004-01,5
2004-02,6
2004-03,5
2004-04,4
2004-05,5
2004-06,5
2004-07,6
2004-08,5
2004-09,6
2004-10,6
2004-11,7
2004-12,6
2005-01,7
2005-02,6
2005-03,5
2005-04,5
2005-05,5
2005-06,6
2005-07,6
2005-08,6
2005-09,7
2005-10,7
2005-11,7
2005-12,6
2006-01,6
2006-02,6
2006-03,5
2006-04,5
2006-05,5
2006-06,5
2006-07,5
2006-08,7
2006-09,9
2006-10,9
2006-11,9
2006-12,8
2007-01,9
2007-02,7
2007-03,6
2007-04,7
2007-05,8
2007-06,8
2007-07,10
2007-08,8
2007-09,9
2007-10,10
2007-11,10
2007-12,9
2008-01,11
2008-02,8
2008-03,8
2008-04,9
2008-05,8
2008-06,9
2008-07,8
2008-08,10
2008-09,13
2008-10,13
2008-11,12
2008-12,12
2009-01,12
2009-02,10
2009-03,9
2009-04,9
2009-05,9
2009-06,11
2009-07,12
2009-08,12
2009-09,17
2009-10,16
2009-11,14
2009-12,14
2010-01,13
2010-02,11
2010-03,11
2010-04,11
2010-05,13
2010-06,12
2010-07,14
2010-08,15
2010-09,17
2010-10,16
2010-11,15
2010-12,16
2011-01,14
2011-02,12
2011-03,14
2011-04,12
2011-05,11
2011-06,13
2011-07,14
2011-08,16
2011-09,17
2011-10,17
2011-11,16
2011-12,17
2012-01,17
2012-02,15
2012-03,13
2012-04,14
2012-05,13
2012-06,15
2012-07,15
2012-08,12
2012-09,16
2012-10,16
2012-11,15
2012-12,14
2013-01,14
2013-02,13
2013-03,12
2013-04,11
2013-05,12
2013-06,14
2013-07,16
2013-08,15
2013-09,17
2013-10,17
2013-11,18
2013-12,16
2014-01,15
2014-02,15
2014-03,14
2014-04,14
2014-05,14
2014-06,15
2014-07,15
2014-08,17
2014-09,20
2014-10,19
2014-11,19
2014-12,19
2015-01,18
2015-02,17
2015-03,15
2015-04,15
2015-05,16
2015-06,18
2015-07,20
2015-08,17
2015-09,26
2015-10,29
2015-11,25
2015-12,24
2016-01,23
2016-02,17
2016-03,19
2016-04,20
2016-05,23
2016-06,28
2016-07,24
2016-08,23
2016-09,27
2016-10,30
2016-11,28
2016-12,28
2017-01,25
2017-02,23
2017-03,23
2017-04,23
2017-05,27
2017-06,30
2017-07,30
2017-08,33
2017-09,33
2017-10,50
2017-11,43
2017-12,55
2018-01,51
2018-02,50
2018-03,43
2018-04,41
2018-05,49
2018-06,53
2018-07,55
2018-08,71
2018-09,71
2018-10,67
2018-11,66
2018-12,71
2019-01,64
2019-02,73
2019-03,50
2019-04,37
2019-05,41
2019-06,38
2019-07,52
2019-08,50
2019-09,47
2019-10,81
2019-11,80
2019-12,81
2020-01,77
2020-02,82
2020-03,66
2020-04,55
2020-05,66
2020-06,70
2020-07,68
2020-08,69
2020-09,73
2020-10,90
2020-11,74
2020-12,83
2021-01,72
2021-02,71
2021-03,62
2021-04,57
2021-05,65
2021-06,70
2021-07,82
2021-08,75
2021-09,87
2021-10,100
2021-11,83
2021-12,95
2022-01,77
2022-02,63
2022-03,59
2022-04,59
2022-05,74
2022-06,76
