Category: All categories

Month,Solar energy: (Brazil)
2004-01,39
2004-02,39
2004-03,55
2004-04,57
2004-05,66
2004-06,66
2004-07,51
2004-08,46
2004-09,53
2004-10,59
2004-11,63
2004-12,34
2005-01,20
2005-02,47
2005-03,42
2005-04,47
2005-05,50
2005-06,49
2005-07,36
2005-08,55
2005-09,50
2005-10,50
2005-11,48
2005-12,29
2006-01,23
2006-02,31
2006-03,38
2006-04,36
2006-05,51
2006-06,39
2006-07,40
2006-08,48
2006-09,41
2006-10,41
2006-11,45
2006-12,26
2007-01,29
2007-02,32
2007-03,39
2007-04,40
2007-05,46
2007-06,55
2007-07,42
2007-08,43
2007-09,52
2007-10,43
2007-11,47
2007-12,29
2008-01,27
2008-02,34
2008-03,29
2008-04,37
2008-05,37
2008-06,41
2008-07,30
2008-08,41
2008-09,38
2008-10,38
2008-11,38
2008-12,22
2009-01,25
2009-02,28
2009-03,30
2009-04,34
2009-05,33
2009-06,37
2009-07,25
2009-08,27
2009-09,34
2009-10,32
2009-11,37
2009-12,21
2010-01,19
2010-02,23
2010-03,25
2010-04,25
2010-05,29
2010-06,27
2010-07,24
2010-08,27
2010-09,28
2010-10,23
2010-11,28
2010-12,16
2011-01,14
2011-02,17
2011-03,21
2011-04,20
2011-05,23
2011-06,27
2011-07,18
2011-08,26
2011-09,27
2011-10,25
2011-11,27
2011-12,16
2012-01,15
2012-02,19
2012-03,22
2012-04,22
2012-05,26
2012-06,30
2012-07,20
2012-08,28
2012-09,29
2012-10,26
2012-11,26
2012-12,18
2013-01,16
2013-02,17
2013-03,20
2013-04,21
2013-05,23
2013-06,23
2013-07,18
2013-08,23
2013-09,24
2013-10,22
2013-11,26
2013-12,16
2014-01,17
2014-02,23
2014-03,22
2014-04,21
2014-05,24
2014-06,22
2014-07,21
2014-08,25
2014-09,27
2014-10,27
2014-11,30
2014-12,19
2015-01,28
2015-02,35
2015-03,34
2015-04,31
2015-05,35
2015-06,34
2015-07,32
2015-08,39
2015-09,39
2015-10,36
2015-11,40
2015-12,29
2016-01,29
2016-02,31
2016-03,30
2016-04,33
2016-05,35
2016-06,36
2016-07,28
2016-08,31
2016-09,33
2016-10,32
2016-11,35
2016-12,28
2017-01,26
2017-02,31
2017-03,33
2017-04,32
2017-05,33
2017-06,35
2017-07,32
2017-08,37
2017-09,39
2017-10,41
2017-11,45
2017-12,32
2018-01,30
2018-02,32
2018-03,38
2018-04,35
2018-05,43
2018-06,45
2018-07,45
2018-08,61
2018-09,55
2018-10,48
2018-11,55
2018-12,41
2019-01,43
2019-02,39
2019-03,43
2019-04,49
2019-05,57
2019-06,55
2019-07,57
2019-08,67
2019-09,70
2019-10,71
2019-11,72
2019-12,52
2020-01,60
2020-02,52
2020-03,48
2020-04,44
2020-05,54
2020-06,58
2020-07,58
2020-08,58
2020-09,61
2020-10,61
2020-11,57
2020-12,54
2021-01,59
2021-02,58
2021-03,60
2021-04,66
2021-05,66
2021-06,74
2021-07,78
2021-08,84
2021-09,100
2021-10,86
2021-11,84
2021-12,70
2022-01,84
2022-02,80
2022-03,93
2022-04,86
2022-05,88
2022-06,84
