Category: All categories

Region,LED lamp: (1/1/22 - 6/30/22)
State of São Paulo,100
State of Minas Gerais,90
State of Santa Catarina,76
State of Rio de Janeiro,75
State of Espírito Santo,74
State of Rio Grande do Sul,73
State of Goiás,67
State of Mato Grosso,65
State of Tocantins,64
State of Paraná,62
State of Mato Grosso do Sul,59
Federal District,58
State of Piauí,57
State of Paraíba,57
State of Bahia,56
State of Alagoas,55
State of Pernambuco,54
State of Rondônia,54
State of Sergipe,52
State of Amapá,51
State of Maranhão,50
State of Rio Grande do Norte,49
State of Pará,48
State of Ceará,46
State of Acre,46
State of Amazonas,46
State of Roraima,38
