Category: All categories

Month,Pain: (Brazil),Cure: (Brazil)
2004-01,8,15
2004-02,9,17
2004-03,9,15
2004-04,9,18
2004-05,8,15
2004-06,8,16
2004-07,9,16
2004-08,8,17
2004-09,10,17
2004-10,10,16
2004-11,8,15
2004-12,8,13
2005-01,9,15
2005-02,8,17
2005-03,9,15
2005-04,9,15
2005-05,10,15
2005-06,10,15
2005-07,9,16
2005-08,9,16
2005-09,9,15
2005-10,10,15
2005-11,9,13
2005-12,8,14
2006-01,9,16
2006-02,9,14
2006-03,9,16
2006-04,9,15
2006-05,9,16
2006-06,10,15
2006-07,9,15
2006-08,10,15
2006-09,9,15
2006-10,9,14
2006-11,9,15
2006-12,8,13
2007-01,9,15
2007-02,8,14
2007-03,9,15
2007-04,10,14
2007-05,9,17
2007-06,9,16
2007-07,9,17
2007-08,9,17
2007-09,10,17
2007-10,11,17
2007-11,9,16
2007-12,10,16
2008-01,11,18
2008-02,11,18
2008-03,11,17
2008-04,11,18
2008-05,11,18
2008-06,11,18
2008-07,11,18
2008-08,12,19
2008-09,12,19
2008-10,12,18
2008-11,12,18
2008-12,11,18
2009-01,13,19
2009-02,14,20
2009-03,14,20
2009-04,13,21
2009-05,14,21
2009-06,12,19
2009-07,13,22
2009-08,14,24
2009-09,13,23
2009-10,14,21
2009-11,14,20
2009-12,14,19
2010-01,14,22
2010-02,15,20
2010-03,14,22
2010-04,15,22
2010-05,15,23
2010-06,14,21
2010-07,15,22
2010-08,14,26
2010-09,15,23
2010-10,13,22
2010-11,14,22
2010-12,14,20
2011-01,18,25
2011-02,18,27
2011-03,19,26
2011-04,19,26
2011-05,18,26
2011-06,17,26
2011-07,18,26
2011-08,19,28
2011-09,18,29
2011-10,19,26
2011-11,20,26
2011-12,18,24
2012-01,19,25
2012-02,20,27
2012-03,21,26
2012-04,21,27
2012-05,21,27
2012-06,20,26
2012-07,21,28
2012-08,21,30
2012-09,22,29
2012-10,21,27
2012-11,20,26
2012-12,21,25
2013-01,23,28
2013-02,22,29
2013-03,22,29
2013-04,23,29
2013-05,23,30
2013-06,23,29
2013-07,23,30
2013-08,25,32
2013-09,24,30
2013-10,24,31
2013-11,25,31
2013-12,25,29
2014-01,27,32
2014-02,27,31
2014-03,28,33
2014-04,29,34
2014-05,30,34
2014-06,28,34
2014-07,28,36
2014-08,29,36
2014-09,30,37
2014-10,29,35
2014-11,29,35
2014-12,30,35
2015-01,32,39
2015-02,33,39
2015-03,34,41
2015-04,36,42
2015-05,34,43
2015-06,35,41
2015-07,35,44
2015-08,37,45
2015-09,38,45
2015-10,38,46
2015-11,37,45
2015-12,37,46
2016-01,39,46
2016-02,41,46
2016-03,38,47
2016-04,40,50
2016-05,38,47
2016-06,36,46
2016-07,39,48
2016-08,38,46
2016-09,39,48
2016-10,40,48
2016-11,38,46
2016-12,46,44
2017-01,51,49
2017-02,53,49
2017-03,53,50
2017-04,52,49
2017-05,53,49
2017-06,53,52
2017-07,53,51
2017-08,55,53
2017-09,56,54
2017-10,56,51
2017-11,54,52
2017-12,56,55
2018-01,58,56
2018-02,59,55
2018-03,62,57
2018-04,63,58
2018-05,60,57
2018-06,61,57
2018-07,62,59
2018-08,62,58
2018-09,64,58
2018-10,59,56
2018-11,62,58
2018-12,64,62
2019-01,64,61
2019-02,53,61
2019-03,54,65
2019-04,67,64
2019-05,69,66
2019-06,67,64
2019-07,68,66
2019-08,67,63
2019-09,68,63
2019-10,68,64
2019-11,67,62
2019-12,68,65
2020-01,73,69
2020-02,74,69
2020-03,77,96
2020-04,75,80
2020-05,75,80
2020-06,76,75
2020-07,72,74
2020-08,71,67
2020-09,71,64
2020-10,69,64
2020-11,69,64
2020-12,76,70
2021-01,82,73
2021-02,77,68
2021-03,80,72
2021-04,78,68
2021-05,76,71
2021-06,76,70
2021-07,74,70
2021-08,75,71
2021-09,77,72
2021-10,77,72
2021-11,71,68
2021-12,79,79
2022-01,100,100
2022-02,80,83
2022-03,81,83
2022-04,84,86
2022-05,86,88
2022-06,88,91
