Category: All categories

Region,Sistema Único de Saúde: (1/1/22 - 6/30/22)
State of Piauí,100
State of Bahia,60
State of Amapá,52
State of Roraima,52
State of Amazonas,50
State of Ceará,46
State of Pernambuco,45
State of Pará,41
State of Goiás,39
State of Tocantins,38
State of Minas Gerais,38
State of Rio de Janeiro,37
State of Espírito Santo,36
State of Rio Grande do Sul,35
State of Santa Catarina,34
State of Rondônia,34
State of Acre,34
State of Maranhão,34
Federal District,32
State of Sergipe,32
State of São Paulo,31
State of Paraíba,31
State of Rio Grande do Norte,30
State of Paraná,29
State of Alagoas,29
State of Mato Grosso do Sul,27
State of Mato Grosso,26
