Category: All categories

Month,Army: (Brazil),Navy: (Brazil),Brazilian Air Force: (Brazil)
2004-01,34,65,41
2004-02,32,67,25
2004-03,34,61,48
2004-04,26,51,31
2004-05,27,45,45
2004-06,29,48,42
2004-07,32,77,27
2004-08,18,34,26
2004-09,20,38,22
2004-10,22,26,17
2004-11,25,28,20
2004-12,19,33,31
2005-01,31,59,26
2005-02,32,98,18
2005-03,13,62,23
2005-04,18,45,20
2005-05,25,33,24
2005-06,19,50,25
2005-07,25,56,21
2005-08,25,48,14
2005-09,21,39,27
2005-10,18,28,14
2005-11,20,31,18
2005-12,17,23,20
2006-01,28,31,21
2006-02,21,55,14
2006-03,18,43,17
2006-04,22,33,17
2006-05,18,28,19
2006-06,20,47,38
2006-07,24,30,23
2006-08,21,36,23
2006-09,19,31,19
2006-10,18,24,25
2006-11,12,28,13
2006-12,15,25,24
2007-01,16,38,14
2007-02,19,65,12
2007-03,14,37,11
2007-04,19,36,13
2007-05,16,29,10
2007-06,15,31,15
2007-07,19,36,12
2007-08,18,43,16
2007-09,10,43,13
2007-10,18,34,13
2007-11,15,38,8
2007-12,16,35,7
2008-01,19,50,8
2008-02,17,51,8
2008-03,18,47,9
2008-04,16,50,11
2008-05,15,32,11
2008-06,20,32,13
2008-07,19,55,9
2008-08,21,34,9
2008-09,19,47,9
2008-10,17,26,8
2008-11,17,23,7
2008-12,16,26,6
2009-01,24,41,8
2009-02,20,31,12
2009-03,18,31,9
2009-04,16,56,13
2009-05,18,36,14
2009-06,19,40,28
2009-07,17,29,11
2009-08,17,22,10
2009-09,17,24,9
2009-10,15,21,10
2009-11,14,21,7
2009-12,15,20,6
2010-01,17,24,8
2010-02,17,29,7
2010-03,15,34,7
2010-04,17,33,8
2010-05,16,26,8
2010-06,15,32,7
2010-07,16,24,8
2010-08,16,20,8
2010-09,14,20,7
2010-10,14,19,6
2010-11,16,24,5
2010-12,15,22,6
2011-01,16,26,6
2011-02,16,26,6
2011-03,15,32,7
2011-04,16,31,8
2011-05,14,32,7
2011-06,15,38,8
2011-07,15,34,6
2011-08,16,27,8
2011-09,14,24,5
2011-10,13,18,6
2011-11,13,21,4
2011-12,13,27,4
2012-01,15,32,5
2012-02,17,31,6
2012-03,14,33,5
2012-04,16,31,6
2012-05,14,35,6
2012-06,14,34,5
2012-07,14,42,5
2012-08,15,51,6
2012-09,14,31,5
2012-10,13,24,4
2012-11,13,23,4
2012-12,13,18,4
2013-01,15,23,5
2013-02,16,24,6
2013-03,14,26,5
2013-04,16,27,5
2013-05,14,22,5
2013-06,17,25,4
2013-07,14,25,6
2013-08,14,21,6
2013-09,14,20,5
2013-10,13,18,4
2013-11,13,17,4
2013-12,12,18,4
2014-01,15,23,4
2014-02,14,33,4
2014-03,17,28,5
2014-04,13,27,6
2014-05,16,25,6
2014-06,15,25,4
2014-07,17,23,5
2014-08,19,20,4
2014-09,15,20,3
2014-10,16,20,3
2014-11,14,20,3
2014-12,18,21,4
2015-01,19,26,4
2015-02,21,28,4
2015-03,27,38,4
2015-04,17,26,5
2015-05,17,31,4
2015-06,17,24,4
2015-07,17,27,4
2015-08,19,27,4
2015-09,18,23,3
2015-10,17,21,6
2015-11,20,22,4
2015-12,16,21,3
2016-01,20,26,3
2016-02,18,36,3
2016-03,20,29,4
2016-04,17,29,3
2016-05,18,24,3
2016-06,19,26,3
2016-07,19,22,3
2016-08,16,21,3
2016-09,17,18,3
2016-10,16,17,3
2016-11,16,17,4
2016-12,29,28,22
2017-01,33,37,20
2017-02,38,40,19
2017-03,30,39,18
2017-04,40,33,16
2017-05,35,39,14
2017-06,32,33,15
2017-07,35,35,18
2017-08,39,33,15
2017-09,42,32,13
2017-10,31,27,12
2017-11,29,26,15
2017-12,28,28,15
2018-01,35,33,19
2018-02,43,41,23
2018-03,34,39,27
2018-04,36,31,27
2018-05,45,46,24
2018-06,31,34,13
2018-07,32,33,16
2018-08,39,32,18
2018-09,35,40,18
2018-10,37,30,14
2018-11,31,29,19
2018-12,31,28,16
2019-01,35,36,20
2019-02,20,23,5
2019-03,18,28,5
2019-04,36,27,38
2019-05,33,31,22
2019-06,33,29,51
2019-07,34,29,23
2019-08,35,29,20
2019-09,32,25,18
2019-10,29,26,16
2019-11,28,25,18
2019-12,30,26,14
2020-01,39,35,23
2020-02,34,35,30
2020-03,36,31,21
2020-04,34,28,17
2020-05,34,32,20
2020-06,33,30,20
2020-07,32,25,16
2020-08,32,23,18
2020-09,33,25,17
2020-10,32,26,25
2020-11,32,27,21
2020-12,32,25,18
2021-01,35,34,22
2021-02,33,33,18
2021-03,36,43,20
2021-04,35,30,17
2021-05,37,28,16
2021-06,36,29,19
2021-07,33,35,21
2021-08,35,34,20
2021-09,98,27,19
2021-10,36,23,18
2021-11,45,23,18
2021-12,30,23,16
2022-01,40,33,22
2022-02,100,40,29
2022-03,63,32,28
2022-04,40,47,22
2022-05,34,32,20
2022-06,31,31,21
