Category: All categories

Day,Clube de Regatas do Flamengo: (Brazil),Sociedade Esportiva Palmeiras: (Brazil),Sport Club Corinthians Paulista: (Brazil),São Paulo FC: (Brazil)
2022-01-01,3,2,2,1
2022-01-02,3,2,2,1
2022-01-03,3,2,1,1
2022-01-04,2,2,2,1
2022-01-05,2,2,2,1
2022-01-06,3,2,1,1
2022-01-07,3,2,2,1
2022-01-08,3,3,2,2
2022-01-09,3,2,2,2
2022-01-10,2,2,2,2
2022-01-11,3,3,2,2
2022-01-12,3,2,2,1
2022-01-13,3,3,2,1
2022-01-14,3,2,1,1
2022-01-15,4,3,3,1
2022-01-16,4,3,2,2
2022-01-17,2,3,1,2
2022-01-18,2,2,1,2
2022-01-19,2,3,1,1
2022-01-20,2,3,1,3
2022-01-21,2,2,1,1
2022-01-22,3,9,2,6
2022-01-23,3,13,2,4
2022-01-24,2,3,2,1
2022-01-25,2,10,4,1
2022-01-26,5,3,8,1
2022-01-27,11,6,1,2
2022-01-28,4,2,2,6
2022-01-29,13,11,3,1
2022-01-30,6,3,9,6
2022-01-31,3,2,2,1
2022-02-01,3,6,1,1
2022-02-02,13,5,3,1
2022-02-03,8,3,12,2
2022-02-04,3,3,2,10
2022-02-05,4,4,3,1
2022-02-06,23,6,16,3
2022-02-07,5,4,4,1
2022-02-08,3,44,2,1
2022-02-09,5,7,2,4
2022-02-10,10,3,3,3
2022-02-11,7,6,10,1
2022-02-12,6,100,4,2
2022-02-13,17,9,7,10
2022-02-14,6,3,2,2
2022-02-15,3,2,2,1
2022-02-16,14,5,3,1
2022-02-17,4,4,8,2
2022-02-18,4,2,2,7
2022-02-19,6,9,9,2
2022-02-20,44,3,5,9
2022-02-21,6,2,2,2
2022-02-22,3,2,2,1
2022-02-23,11,6,3,1
2022-02-24,11,15,2,2
2022-02-25,3,2,2,6
2022-02-26,5,3,2,1
2022-02-27,18,8,12,2
2022-02-28,4,2,2,6
2022-03-01,3,2,2,2
2022-03-02,4,6,2,1
2022-03-03,3,18,2,1
2022-03-04,3,2,2,1
2022-03-05,5,3,26,23
2022-03-06,25,9,3,3
2022-03-07,4,2,1,1
2022-03-08,3,2,1,1
2022-03-09,4,2,2,1
2022-03-10,3,8,2,6
2022-03-11,3,11,2,9
2022-03-12,15,3,10,1
2022-03-13,11,19,5,6
2022-03-14,3,4,2,1
2022-03-15,4,2,2,1
2022-03-16,16,2,2,2
2022-03-17,15,11,10,5
2022-03-18,3,19,18,1
2022-03-19,4,3,3,6
2022-03-20,23,12,10,2
2022-03-21,4,2,2,1
2022-03-22,2,2,2,6
2022-03-23,3,5,3,11
2022-03-24,2,10,11,1
2022-03-25,3,3,11,2
2022-03-26,4,23,4,2
2022-03-27,7,8,32,27
2022-03-28,4,3,3,4
2022-03-29,4,3,1,2
2022-03-30,10,8,2,6
2022-03-31,26,31,2,29
2022-04-01,4,2,1,2
2022-04-02,42,6,2,4
2022-04-03,11,48,3,38
2022-04-04,4,6,2,4
2022-04-05,10,2,5,1
2022-04-06,20,6,15,2
2022-04-07,4,13,2,3
2022-04-08,4,2,2,11
2022-04-09,21,6,2,2
2022-04-10,12,18,14,11
2022-04-11,4,2,3,4
2022-04-12,9,5,2,2
2022-04-13,19,21,8,2
2022-04-14,4,3,16,8
2022-04-15,5,3,3,6
2022-04-16,6,17,14,2
2022-04-17,28,5,7,18
2022-04-18,6,2,2,2
2022-04-19,5,3,2,1
2022-04-20,23,17,4,7
2022-04-21,20,14,14,7
2022-04-22,4,2,2,1
2022-04-23,25,24,23,9
2022-04-24,6,11,9,2
2022-04-25,3,2,2,1
2022-04-26,5,2,7,1
2022-04-27,6,6,17,2
2022-04-28,20,12,2,6
2022-04-29,10,2,2,5
2022-04-30,6,6,3,2
2022-05-01,32,13,13,2
2022-05-02,7,2,3,7
2022-05-03,4,4,2,8
2022-05-04,19,11,6,1
2022-05-05,9,2,13,6
2022-05-06,4,2,2,4
2022-05-07,6,3,3,2
2022-05-08,29,13,15,8
2022-05-09,4,2,4,3
2022-05-10,4,2,2,1
2022-05-11,15,9,4,2
2022-05-12,10,5,10,8
2022-05-13,3,2,2,5
2022-05-14,24,14,14,2
2022-05-15,7,4,9,10
2022-05-16,4,2,2,2
2022-05-17,10,2,6,1
2022-05-18,16,10,15,2
2022-05-19,3,6,2,3
2022-05-20,3,2,2,7
2022-05-21,23,12,3,2
2022-05-22,6,7,24,19
2022-05-23,3,2,4,2
2022-05-24,8,5,2,1
2022-05-25,15,10,3,6
2022-05-26,3,2,8,4
2022-05-27,4,2,16,1
2022-05-28,6,3,3,7
2022-05-29,30,14,18,5
2022-05-30,7,3,4,1
2022-05-31,4,2,2,1
2022-06-01,5,2,2,1
2022-06-02,3,2,2,1
2022-06-03,3,2,2,1
2022-06-04,5,4,9,8
2022-06-05,24,17,14,5
2022-06-06,6,3,2,1
2022-06-07,5,2,6,1
2022-06-08,12,4,14,2
2022-06-09,21,13,3,6
2022-06-10,5,8,2,6
2022-06-11,14,4,16,2
2022-06-12,27,19,5,9
2022-06-13,4,5,2,2
2022-06-14,5,2,2,1
2022-06-15,13,3,4,2
2022-06-16,19,20,15,11
2022-06-17,4,6,2,2
2022-06-18,6,3,3,2
2022-06-19,26,6,14,2
2022-06-20,5,15,3,11
2022-06-21,4,20,3,15
2022-06-22,10,4,6,2
2022-06-23,25,20,18,16
2022-06-24,4,23,3,20
2022-06-25,24,4,20,2
2022-06-26,13,20,10,11
2022-06-27,4,3,3,2
2022-06-28,6,3,9,1
2022-06-29,12,15,20,2
2022-06-30,25,11,2,4
