Category: All categories

Month,God: (Brazil)
2004-01,23
2004-02,24
2004-03,21
2004-04,20
2004-05,21
2004-06,20
2004-07,20
2004-08,21
2004-09,22
2004-10,21
2004-11,19
2004-12,20
2005-01,20
2005-02,21
2005-03,19
2005-04,23
2005-05,21
2005-06,20
2005-07,21
2005-08,22
2005-09,24
2005-10,22
2005-11,20
2005-12,20
2006-01,20
2006-02,21
2006-03,21
2006-04,24
2006-05,24
2006-06,24
2006-07,24
2006-08,21
2006-09,21
2006-10,22
2006-11,21
2006-12,19
2007-01,20
2007-02,19
2007-03,20
2007-04,22
2007-05,22
2007-06,24
2007-07,25
2007-08,23
2007-09,23
2007-10,23
2007-11,23
2007-12,24
2008-01,24
2008-02,25
2008-03,24
2008-04,25
2008-05,26
2008-06,25
2008-07,26
2008-08,27
2008-09,26
2008-10,26
2008-11,27
2008-12,27
2009-01,27
2009-02,28
2009-03,29
2009-04,30
2009-05,32
2009-06,30
2009-07,32
2009-08,33
2009-09,34
2009-10,36
2009-11,33
2009-12,29
2010-01,32
2010-02,32
2010-03,35
2010-04,39
2010-05,39
2010-06,35
2010-07,38
2010-08,39
2010-09,42
2010-10,39
2010-11,39
2010-12,37
2011-01,42
2011-02,45
2011-03,45
2011-04,49
2011-05,47
2011-06,49
2011-07,48
2011-08,49
2011-09,50
2011-10,50
2011-11,50
2011-12,49
2012-01,48
2012-02,55
2012-03,54
2012-04,55
2012-05,54
2012-06,56
2012-07,57
2012-08,57
2012-09,55
2012-10,52
2012-11,54
2012-12,53
2013-01,53
2013-02,54
2013-03,56
2013-04,56
2013-05,54
2013-06,54
2013-07,57
2013-08,58
2013-09,57
2013-10,57
2013-11,56
2013-12,56
2014-01,54
2014-02,58
2014-03,62
2014-04,62
2014-05,65
2014-06,62
2014-07,63
2014-08,66
2014-09,66
2014-10,61
2014-11,64
2014-12,62
2015-01,62
2015-02,68
2015-03,69
2015-04,71
2015-05,73
2015-06,74
2015-07,75
2015-08,74
2015-09,77
2015-10,74
2015-11,71
2015-12,71
2016-01,70
2016-02,73
2016-03,71
2016-04,74
2016-05,72
2016-06,70
2016-07,76
2016-08,71
2016-09,74
2016-10,69
2016-11,75
2016-12,88
2017-01,87
2017-02,90
2017-03,94
2017-04,92
2017-05,90
2017-06,91
2017-07,94
2017-08,92
2017-09,98
2017-10,90
2017-11,87
2017-12,89
2018-01,88
2018-02,95
2018-03,97
2018-04,95
2018-05,90
2018-06,93
2018-07,100
2018-08,96
2018-09,93
2018-10,92
2018-11,91
2018-12,95
2019-01,88
2019-02,76
2019-03,77
2019-04,94
2019-05,92
2019-06,91
2019-07,92
2019-08,92
2019-09,89
2019-10,83
2019-11,81
2019-12,84
2020-01,83
2020-02,89
2020-03,100
2020-04,87
2020-05,82
2020-06,84
2020-07,83
2020-08,83
2020-09,81
2020-10,80
2020-11,77
2020-12,81
2021-01,87
2021-02,82
2021-03,87
2021-04,85
2021-05,86
2021-06,85
2021-07,87
2021-08,85
2021-09,83
2021-10,81
2021-11,78
2021-12,81
2022-01,86
2022-02,87
2022-03,86
2022-04,89
2022-05,86
2022-06,87
