Category: All categories

Region,Indigenous peoples: (1/1/22 - 6/30/22)
State of Roraima,100
State of Amazonas,58
State of Amapá,56
State of Pará,40
State of Acre,40
State of Bahia,40
State of Tocantins,38
State of Maranhão,37
State of Rondônia,35
State of Mato Grosso do Sul,33
State of Paraíba,29
State of Mato Grosso,28
State of Alagoas,28
State of Ceará,27
State of Pernambuco,26
State of Piauí,25
State of Sergipe,25
Federal District,23
State of Rio Grande do Norte,23
State of São Paulo,22
State of Espírito Santo,22
State of Rio de Janeiro,21
State of Goiás,21
State of Minas Gerais,20
State of Rio Grande do Sul,18
State of Santa Catarina,18
State of Paraná,16
