Category: All categories

Region,Beer: (1/1/22 - 6/30/22)
State of Minas Gerais,100
State of Santa Catarina,82
State of Goiás,81
State of Bahia,80
State of São Paulo,80
State of Espírito Santo,78
State of Rio de Janeiro,77
State of Maranhão,76
State of Paraná,76
State of Rio Grande do Sul,73
State of Mato Grosso,72
State of Pernambuco,65
State of Pará,65
State of Tocantins,63
State of Roraima,63
State of Mato Grosso do Sul,63
Federal District,62
State of Ceará,61
State of Rondônia,61
State of Piauí,61
State of Sergipe,59
State of Acre,56
State of Alagoas,54
State of Amapá,53
State of Rio Grande do Norte,49
State of Paraíba,46
State of Amazonas,44
