Category: All categories

Month,Cigarette: (Brazil),Electronic cigarette: (Brazil)
2004-01,40,0
2004-02,44,1
2004-03,43,0
2004-04,69,3
2004-05,94,1
2004-06,97,1
2004-07,59,1
2004-08,91,1
2004-09,80,2
2004-10,70,1
2004-11,66,2
2004-12,40,1
2005-01,52,0
2005-02,51,1
2005-03,51,3
2005-04,63,1
2005-05,77,<1
2005-06,81,<1
2005-07,45,1
2005-08,78,<1
2005-09,65,1
2005-10,61,<1
2005-11,65,1
2005-12,31,1
2006-01,29,<1
2006-02,43,2
2006-03,50,2
2006-04,52,1
2006-05,63,<1
2006-06,65,1
2006-07,40,<1
2006-08,65,1
2006-09,52,1
2006-10,50,1
2006-11,46,1
2006-12,28,1
2007-01,30,<1
2007-02,33,1
2007-03,39,1
2007-04,38,1
2007-05,51,1
2007-06,54,1
2007-07,36,1
2007-08,51,1
2007-09,53,1
2007-10,47,1
2007-11,42,1
2007-12,28,1
2008-01,24,<1
2008-02,30,1
2008-03,40,1
2008-04,39,1
2008-05,49,2
2008-06,56,2
2008-07,35,1
2008-08,45,2
2008-09,47,2
2008-10,43,2
2008-11,42,1
2008-12,30,1
2009-01,30,1
2009-02,29,1
2009-03,39,2
2009-04,53,3
2009-05,55,2
2009-06,47,2
2009-07,39,6
2009-08,54,7
2009-09,47,4
2009-10,42,1
2009-11,41,2
2009-12,30,2
2010-01,29,1
2010-02,33,2
2010-03,36,2
2010-04,38,2
2010-05,59,2
2010-06,52,2
2010-07,36,2
2010-08,43,2
2010-09,40,3
2010-10,35,3
2010-11,38,2
2010-12,33,2
2011-01,30,2
2011-02,36,4
2011-03,38,4
2011-04,37,4
2011-05,43,5
2011-06,44,5
2011-07,38,6
2011-08,46,6
2011-09,45,5
2011-10,42,4
2011-11,55,5
2011-12,37,4
2012-01,38,5
2012-02,36,4
2012-03,43,4
2012-04,46,5
2012-05,46,5
2012-06,44,5
2012-07,36,5
2012-08,42,5
2012-09,41,5
2012-10,36,4
2012-11,37,4
2012-12,32,4
2013-01,36,5
2013-02,33,5
2013-03,36,5
2013-04,37,6
2013-05,38,6
2013-06,38,6
2013-07,36,7
2013-08,41,6
2013-09,40,6
2013-10,41,8
2013-11,41,7
2013-12,37,7
2014-01,39,6
2014-02,38,6
2014-03,38,6
2014-04,42,7
2014-05,44,8
2014-06,40,7
2014-07,39,6
2014-08,43,8
2014-09,41,7
2014-10,43,6
2014-11,41,7
2014-12,41,6
2015-01,40,7
2015-02,40,6
2015-03,43,7
2015-04,42,7
2015-05,43,7
2015-06,46,7
2015-07,42,7
2015-08,44,7
2015-09,47,7
2015-10,45,7
2015-11,45,8
2015-12,43,8
2016-01,50,23
2016-02,48,15
2016-03,46,12
2016-04,49,16
2016-05,55,19
2016-06,51,16
2016-07,46,13
2016-08,46,15
2016-09,53,18
2016-10,47,13
2016-11,48,16
2016-12,48,20
2017-01,47,19
2017-02,46,15
2017-03,50,12
2017-04,50,13
2017-05,54,14
2017-06,55,15
2017-07,51,15
2017-08,60,15
2017-09,57,13
2017-10,58,14
2017-11,54,14
2017-12,50,17
2018-01,52,15
2018-02,50,15
2018-03,58,15
2018-04,52,12
2018-05,55,12
2018-06,54,13
2018-07,56,16
2018-08,65,22
2018-09,60,21
2018-10,56,22
2018-11,54,20
2018-12,54,23
2019-01,57,23
2019-02,54,24
2019-03,60,25
2019-04,64,24
2019-05,69,25
2019-06,76,30
2019-07,70,30
2019-08,75,32
2019-09,73,33
2019-10,65,23
2019-11,56,21
2019-12,61,25
2020-01,66,21
2020-02,59,20
2020-03,63,18
2020-04,61,16
2020-05,63,16
2020-06,63,18
2020-07,63,18
2020-08,62,20
2020-09,63,19
2020-10,61,22
2020-11,57,25
2020-12,65,30
2021-01,71,32
2021-02,70,31
2021-03,71,30
2021-04,70,31
2021-05,71,35
2021-06,72,40
2021-07,76,57
2021-08,80,61
2021-09,81,68
2021-10,82,70
2021-11,83,70
2021-12,93,97
2022-01,87,60
2022-02,84,57
2022-03,90,57
2022-04,91,59
2022-05,94,59
2022-06,100,56
