Category: All categories

Region,Domestic violence: (1/1/22 - 6/30/22)
State of Roraima,100
State of Tocantins,91
State of Sergipe,80
State of Amapá,79
Federal District,64
State of Acre,64
State of Goiás,63
State of Maranhão,63
State of Paraíba,62
State of Amazonas,59
State of Mato Grosso do Sul,59
State of Mato Grosso,58
State of Rondônia,56
State of Ceará,55
State of Rio Grande do Norte,54
State of Pará,53
State of Piauí,51
State of Alagoas,49
State of Pernambuco,48
State of Bahia,47
State of Minas Gerais,42
State of Paraná,40
State of Rio de Janeiro,40
State of Espírito Santo,40
State of Santa Catarina,38
State of Rio Grande do Sul,37
State of São Paulo,30
